,title,date
30,مشروع قانون عدد 2019/47 يتعلق بالترخيص للدولة في الاكتتاب في الزيادة العامة الخامسة في راس مال البنك الاسلامي للتنمية,2019-5-21
31,مشروع قانون عدد 2019/46 يتعلق بالترخيص للدولة في المساهمة في ميزانية برنامج جسور التجارة العربية الافريقية,2019-5-21
32,"مشروع قانون عدد 2019/40 يتعلق بالموافقة على الاتفاقية الخاصة وملحقاتها المتعلقة برخصة استكشاف المحروقات التي تعرف برخصة ""تسكرايا""",2019-5-21
33,"مشروع قانون عدد 2019/39 يتعلق بالموافقة على الاتفاقية الخاصة وملحقاتها المتعلقة برخصة استكشاف المحروقات التي تعرف برخصة ""ماتلين""",2019-5-21
34,"مشروع قانون عدد 2019/38 يتعلق بالموافقة على الاتفاقية الخاصة وملحقاتها المتعلقة برخصة استكشاف المحروقات التي تعرف برخصة ""كاف عباد""",2019-5-21
35,"مشروع قانون عدد 2019/37 يتعلق بالموافقة على الاتفاقية الخاصة وملحقاتها المتعلقة برخصة استكشاف المحروقات التي تعرف برخصة ""صواف""",2019-5-21
36,"مشروع قانون عدد 2019/36 يتعلق بالموافقة على الاتفاقية الخاصة وملحقاتها المتعلقة برخصة استكشاف المحروقات التي تعرف برخصة ""حزوة""",2019-5-21
37,"مشروع قانون عدد 2019/35 يتعلق بالموافقة على الاتفاقية الخاصة وملحقاتها المتعلقة برخصة استكشاف المحروقات التي تعرف برخصة ""الواحة""",2019-5-21
38,مقترح قانون أساسي عدد 2019/23 يتعلق بضبط مقر المجلس الأعلى للجماعات المحلية بولاية سيدي بوزيد,2019-5-15
39,مقترح القانون الاساسي عدد 2019/33 المتعلق بشفافية واخلاقيات الحياة السياسية,2019-5-14
40,مقترح قانون عدد 2019/34 يتعلق بتنقيح القانون عدد 16 لسنة 2014 مؤرخ في 26 ماي 2014 يتعلق بالانتخابات والاستفتاء كما تم تنقيحه وإتمامه بالقانون الاساسي عدد 7 لسنة 2017 المؤرخ في 14 فيفري 2017,2019-5-14
41,مشروع قانون عدد 2019/32 يتعلق بتنقيح الفقرة الأخيرة من الفصل 16 من مجلة الحقوق والاجراءات الجبائية,2019-5-03
42,"مشروع قانون عدد 2019/31 يتعلق بالموافقة على الاتفاقية الخاصة وملحقاتها المتعلقة بامتياز استتغلال ""حلق المنزل""",2019-4-29
43,مشروع قانون عدد 2019/30 يتعلق بالموافقة على اتفاقية القرض المبرمة بتاريخ 15 جانفي 2019 و22 فيفري 2019 بين الجمهورية التونسية والمؤسسة الإسبانية للقروض لتوفير خط تمويل لتنمية المشاريع الصغرى والمتوسطة,2019-4-04
44,مشروع قانون عدد 2019/29 يتعلق بالموافقة على اتفاقية القرض المبرمة بتاريخ 14 فيفري 2019 بين الجمهورية التونسية والوكالة الفرنسية للتنمية للمساهمة في تمويل برنامج تعصير الخدمات الصحية بجهة سيدي بوزيد,2019-4-04
45,مشروع قانون عدد 2019/28 يتعلق بالموافقة على اتفاقية القرض المبرمة بتاريخ 14 فيفري 2019 بين الجمهورية التونسية والوكالة الفرنسية للتنمية للمساهمة في تمويل برنامج دعم الصحة الإلكترونية << E-Santé >>,2019-4-04
46,مشروع قانون عدد 2019/27 يتعلق بالموافقة على اتفاقية الضمان المبرمة بتاريخ 5 فيفري 2019 بين الجمهورية التونسية والمؤسسة الدولية الإسلامية لتمويل التجارة والمتعلقة باتفاقية المرابحة المبرمة بين الشركة التونسية للكهرباء والغاز والمؤسسة المذكورة لتمويل استيراد الغاز الطبيعي,2019-4-04
47,مشروع قانون عدد 2019/26 يتعلق بالموافقة على اتفاقية القرض المبرمة بتاريخ 26 مارس 2019 بين وزارة المالية ومجموعة من البنوك المحلية لتمويل ميزانية الدولة,2019-4-04
48,مشروع قانون أساسي عدد 2019/25 يتعلق بتنقيح وإتمام مجلة الجنسية التونسية,2019-3-15
49,مشروع قانون أساسي عدد 2019/24 يتعلق بتنقيح وإتمام القانون عدد 12 لسنة 1985 المؤرخ في 5 مارس 1985 المتعلق بنظام الجرايات المدنية والعسكرية للتقاعد وللباقين على قيد الحياة في القطاع العمومي,2019-3-15
50,مشروع قانون عدد 2019/21 يتعلق بالموافقة على اتفاق الضمان المبرم بتاريخ 8 جانفي 2019 بين الجمهورية التونسية والبنك الإفريقي للتنمية والمتعلق بالقرض المسند لفائدة الديوان الوطني للتطهير للمساهمة في تمويل برنامج تطهير البلديات الصغرى التي تعد أقل من 000 10 ساكن (قسط I),2019-3-01
51,مشروع قانون عدد 2019/20 يتعلق بالموافقة على اتفاق الضمان المبرم بتاريخ 8 جانفي 2019 بين الجمهورية التونسية والبنك الأوروبي لإعادة الإعمار والتنمية والمتعلق بالقرض المسند لفائدة الديوان الوطني للتطهير للمساهمة في تمويل برنامج تطهير 33 مدينة ذات أولوية عدد سكانها أقل من 000 10 ساكن,2019-3-01
52,مشروع قانون عدد 2019/19 يتعلق بالموافقة على الإحالة لفائدة الدولة للقرض الرقاعي المصدر من قبل البنك المركزي التونسي بالسوق المالية العالمية، موضوع الاتفاقات المبرمة بتاريخ 31 أكتوبر 2018 بين البنك المركزي التونسي وجمع من مؤسسات مالية أجنبية,2019-3-01
53,مشروع قانون عدد 2019/18 يتعلق بالموافقة على اتفاقية القرض المبرمة بتاريخ 22 أكتوبر 2018 بين الجمهورية التونسية والوكالة الفرنسية للتنمية للمساهمة في تمويل برنامج إحياء المراكز العمرانية القديمة بتونس,2019-3-01
54,مشروع قانون عدد 2019/17 يتعلق بالموافقة على عقد القرض المبرم بتونس بتاريخ 12 ديسمبر 2018 بين الجمهورية التونسية والمؤسسة الألمانية للقروض من أجل إعادة الإعمار لتمويل برنامج دعم الإصلاحات في قطاع المياه – مرحلة ثانية,2019-3-01
55,مشروع قانون عدد 2019/16 يتعلق بالموافقة على اتفاقية الضمان عند أول طلب المبرمة بتاريخ 4 جانفي 2019 بين الجمهورية التونسية والوكالة الفرنسية للتنمية والمتعلقة بالقرض المسند لفائدة الشركة التونسية للكهرباء والغاز لتمويل مشروع الشبكة الذكية لتوزيع الكهرباء,2019-3-01
56,مشروع قانون عدد 2019/15 يتعلق بالموافقة على اتفاقية القرض المبرمة بتاريخ 28 جانفي 2019 بين حكومة الجمهورية التونسية والصندوق العربي للانماء الاقتصادي والاجتماعي للمساهمة في تمويل مشروع سدي تاسة وخلاد,2019-3-01
57,مشروع قانون أساسي عدد 2019/14 يتعلق بالموافقة على الوثائق المنبثقة عن المؤتمر الخامس والعشرين للاتحاد البريدي العالمي,2019-3-01
58,مشروع قانون أساسي عدد 2019/13 يتعلق بالموافقة على الوثائق المنبثقة عن المؤتمر الرابع والعشرين للاتحاد البريدي العالمي,2019-3-01
59,مشروع قانون عدد 2019/22 يتعلق بتحفيز الاستثمار وتحسين مناخ الأعمال,2019-2-06
60,"مشروع قانون عدد 2019/12 يتعلق بالموافقة على اتفاقية القرض المبرمة بتاريخ 13 ديسمبر 2018 بين الصندوق السعودي للتنمية والجمهورية التونسية لتمويل ""مشروع تحسين التزود بالماء الصالح للشرب بالوسط الريفي بولاية بنزرت""",2019-2-05
61,"مشروع قانون عدد 2019/11 يتعلق بالموافقة على اتفاقية القرض المبرمة بتاريخ 13 ديسمبر 2018 بين الصندوق السعودي للتنمية والجمهورية التونسية لتمويل مشروع ""التنمية الفلاحية المندمجة في جومين وغزالة وسجنان (المرحلة الثانية)""",2019-2-05
62,مشروع قانون أساسي عدد 2019/10 يتعلق بالموافقة على اتفاقية تعاون في مجال النقل البحري والملاحة والموانئ البحرية التجارية مبرمة في 23 مارس 2017 بين حكومة الجمهورية التونسية وحكومة جمهورية السودان,2019-2-05
63,"مشروع قانون عدد 2019/09 يتعلق بالموافقة على اتفاق الهبة القابلة للاسترجاع المبرم بتاريخ 13 سبتمبر 2018 بين الجمهورية التونسية والبنك الدولي للإنشاء والتعمير لدعم تمويل الدراسات التمهيدية لمشروع ""الربط الكهربائي بين تونس وإيطاليا""",2019-2-05
64,مشروع قانون عدد 2019/08 يتعلق بالموافقة على اتفاقية القرض المبرمة بتاريخ 13 جانفي 2019 بين الجمهورية التونسية والمملكة العربية السعودية لتمويل برنامج دعم ميزانية الدولة,2019-2-05
65,مقترح قانون عدد 2019/07 يتعلق بإتمام بعض احكام مجلة حماية الطفل,2019-1-29
66,مشروع قانون عدد 2019/06 يتعلق بوضع إجراءات استثنائية لإعادة ترتيب أعوان قوات الأمن الداخلي المتقاعدين والمتوفين والمعاد إدماجهم سنة 2011 المشمولين بأحكام الفصل 52 من القانون عدد 54 لسنة 2014 المؤرخ في 19 أوت 2014 المتعلق بقانون المالية التكميلي لسنة 2014,2019-1-21
67,مشروع قانون أساسي عدد 2019/05 يتعلق بالموافقة على الاتفاقية المبرمة بتاريخ 8 فيفري 2018 بين الجمهورية التونسية وجمهورية ألمانيا الاتحادية لتفادي الازدواج الضريبي في مادة الضرائب على الدخل والثروة,2019-1-21
68,مقترح قانون عدد 2019/04 يتعلق بالمبادئ الرامية إلى ترسيخ اللغة العربية ودعمها وتعميم استخدامها,2019-1-15
69,مشروع قانون عدد 2019/03 يتعلق بإحداث الوكالة الوطنية للتصرف في الإشهار العمومي والاشتراكات,2019-1-11
70,مقترح قانون عدد 2019/02 متعلّق بتعديل الفصلين 21 و 23 من القانون عدد 33 لسنة 2004 المؤرخ في 19 أفريل 2004 المتعلّق بتنظيم النقل البري,2019-1-11
71,"مشروع قانون عدد 2019/01 يتعلق بالموافقة على اتفاقية القرض المبرمة بتاريخ 25 ديسمبر 2018 بين الجمهورية التونسية والصندوق الكويتي للتنمية الاقتصادية العربية للمساهمة في تمويل مشروع "" تهيئة المسالك الريفية بالجمهورية التونسية""",2019-1-04
72,مشروع قانون أساسي عدد 2018/94 يتعلق بالموافقة على اتفاق التعاون في مجال النقل البحري والموانئ المبرم في 3 أكتوبر 2018 بين حكومة الجمهورية التونسية وحكومة جيبوتي,2018-12-11
73,مشروع قانون أساسي عدد 2018/93 يتعلق بالموافقة على الاتفاق المتعلق بالنقل الدولي للاشخاص والبضائع عبر الطرقات المبرم في 20 فيفري 2018 بين حكومة الجمهورية التونسية وحكومة جمهورية غينيا,2018-12-11
74,مقترح قانون عدد 2018/92 يتعلق بتنقيح مجلة الغابات,2018-11-30
75,مشروع قانون أساسي عدد 2018/91 يتعلق بتنظيم حالة الطوارئ,2018-11-30
76,مشروع قانون أساسي عدد 2018/90 يتعلق بإتمام مجلة الأحوال الشخصية,2018-11-28
77,مقترح قانون أساسي عدد 2018/89 يتعلق بتنقيح مشروع القانون عدد 16 المؤرخ في 31 مارس 1975 والمتعلق باصدار بمجلة المياه,2018-11-23
78,مشروع قانون أساسي عدد 2018/87 يتعلق بالموافقة على المعاهدة المنقحة لإنشاء تجمع دول الساحل والصحراء (س.ص),2018-11-23
79,مشروع قانون أساسي عدد 2018/86 يتعلق بالموافقة على انضمام الجمهورية التونسية للاتفاق الأممي الخاص باعتماد شروط موحدة للمراقبة الفنية الدورية للعربات ذات العجلات والاعتراف بتلك المراقبة,2018-11-23
80,مشروع قانون أساسي عدد 2018/87 يتعلق بالموافقة على المعاهدة المنقحة لإنشاء تجمع دول الساحل والصحراء (س.ص),2018-11-23
81,مقترح قانون عدد 2018/85 يتعلق بتنقيح مجلة والمرافعات والعقوبات العسكرية,2018-11-20
82,مشروع قانون عدد 2018/84 يتعلق بالموافقة على البروتوكول المالي وملحقه المبرمين على التوالي في 28 ديسمبر 2017 و 31 جانفي 2018، بين حكومة الجمهورية التونسية وحكومة الجمهورية الفرنسية والمتعلقتين ببرنامج الدعم المخصص لفائدة المؤسسات الصغرى والمتوسطة والصناعات الصغرى والمتوسطة التونسية,2018-11-14
83,مشروع قانون عدد 2018/83 يتعلق الموافقة على ملحق اتفاقية القرض المبرم بتاريخ 06 أوت 2018 بين الجمهورية التونسية والبنك التركي للتصدير والتوريد (Turk Eximbank) للمساهمة في تمويل اقتناء تجهيزات ومعدات ذات منشأ تركي,2018-11-14
84,مشروع قانون عدد 2018/82 يتعلق بالموافقة على الملحق عدد 2 لاتفاقية القرض المبرمة بتاريخ 27 ماي 2011 بين الجمهورية التونسية والوكالة لفرنسية للتنمية والمتعلقة بتمويل مشروع إنجاز المدرسة الوطنية للمهندسين ببنزرت,2018-11-14
85,مشروع قانون عدد 2018/81 يتعلق بالموافقة على اتفاق القرض المبرم بتونس بتاريخ 21 ديسمبر 2017 بين الجمهورية التونسية والبنك الافريقي للتنمية للمساهمة في تمويل مشروع مساندة تنمية القدرات التقنية والتكنولوجية,2018-11-14
86,مشروع قانون أساسي عدد 2018/80 يتعلق بالموافقة على اتفاقية بين حكومة الجمهورية التونسية وحكومة جمهورية سنغافورة بشأن تجنب الازدواج الضريبي ومنع التهرب الجبائي في مادة الضرائب على الدخل,2018-11-14
87,مشروع قانون أساسي عدد 2018/79 يتعلق بالموافقة على اتفاقية إنشاء التحالف العالمي للأراضي الجافة,2018-11-14
88,مشروع قانون أساسي عدد 2018/78 يتعلق بالموافقة على بروتوكولي تعديل اتفاقية الطيران المدني الدولي,2018-11-14
89,النظر في طلب منح الثقة إلى الأعضاء الجدد المقترحين ضمن التحوير الوزاري,2018-11-12
90,مقترح قانون أساسي عدد 2018/77 إطاري لأجهزة المخابرات والاستعلامات العامة,2018-11-12
91,مشروع قانون عدد 2018/75 يتعلق بالموافقة على اتفاق القرض المبرم بتاريخ 21 ديسمبر 2017 بين الجمهورية التونسية والبنك الإفريقي للتنمية لتمويل مشروع دعم القدرات التقنية والتكنولوجية,2018-10-19
92,مشروع قانون عدد 2018/74 يتعلق بجبر الأضرار التي تلحق بالمؤسسات الاقتصادية نتيجة الفيضانات,2018-10-12
93,مشروع قانون عدد 2018/73 يتعلق بمشروع قانون المالية التكميلي لسنة 2018,2018-10-11
94,مشروع قانون عدد 2018/72 يتعلق بمشروع قانون المالية لسنة 2019,2018-10-11
95,مقترح قانون أساسي عدد 2018/71 يتعلق بمجلة الحقوق والحريات الفردية,2018-10-11
96,مشروع قانون عدد 2018/70 يتعلق بالموافقة على عقد القرض المبرم في 11 جويلية 2018 بين الجمهورية التونسية والمؤسسة الألمانية للقروض من أجل إعادة الإعمار لتمويل برنامج دعم الإصلاحات في القطاعين البنكي والمالي,2018-10-09
97,مشروع قانون أساسي عدد 2018/69 يتعلق بهيئة التنمية المستدامة وحقوق الأجيال القادمة,2018-10-09
98,مشروع قانون أساسي عدد 2018/68 يتعلق بالموافقة على اتفاق التشجيع والحماية المتبادلة للإستثمارات المبرم في 27 ديسمبر 2017 بين حكومة الجمهورية التونسية وحكومة جمهورية تركيا,2018-9-26
99,مشروع قانون عدد 2018/65 يتعلق بالموافقة على عقد التمويل المبرم في 29 جوان 2018 بين الجمهورية التونسية والبنك الأوروبي للاستثمار للمساهمة في تمويل الجيل الثاني من برنامج تهذيب وإدماج الأحياء السكينة,2018-9-26
100,مشروع قانون أساسي عدد 2018/68 يتعلق بالموافقة على اتفاق التشجيع والحماية المتبادلة للإستثمارات المبرم في 27 ديسمبر 2017 بين حكومة الجمهورية التونسية وحكومة جمهورية تركيا,2018-9-26
101,مشروع قانون عدد 2018/67 يتعلق بالموافقة على اتفاق القرض المبرم في 7 جوان 2018 بين الجمهورية التونسية والبنك الدولي للإنشاء والتعمير لتمويل مشروع دعم جودة أساسيات التعليم المدرسي,2018-9-26
102,مشروع قانون عدد 2018/65 يتعلق بالموافقة على عقد التمويل المبرم في 29 جوان 2018 بين الجمهورية التونسية والبنك الأوروبي للاستثمار للمساهمة في تمويل الجيل الثاني من برنامج تهذيب وإدماج الأحياء السكينة,2018-9-26
103,مشروع قانون أساسي عدد 2018/63 يتعلق بتنقيح وإتمام القانون الأساسي عدد 16 لسنة 2014 المؤرخ في 26 مـــــاي 2014 المتعلق بالانتخابات والاستفتاء كما تم تنقيحه وإتمامه بمُقتضى القانون الأساسي عدد 7 لسنة 2017 المؤرخ في 14 فيفري 2017,2018-9-26
104,مشروع قانون أساسي عدد 2018/62 يتعلق بالموافقة على اتفاق وتبادل رسائل بين منظمة الأمم المتحدة، ممثلة في برنامج الأمم المتحدة للمستوطنات البشرية، وحكومة الجمهوريّة التونسيّة حول إنشاء مكتب قُطري بالجمهوريّة التونسية,2018-8-17
105,مشروع قانون عدد 2018/61 يتعلق بالموافقة على اتفاق القرض المبرم في 7 جوان 2018 بين الجمهورية التونسية والبنك الدولي للإنشاء والتعمير لتمويل مشروع تكثيف الفلاحة السقوية بتونس,2018-8-17
106,جلسة عامة مخصصة للنظر في مشروع القانون عدد 2018/57 المتعلق بالموافقة على اتفاق القرض المبرم في 29 جوان 2018 بين الجمهورية التونسية والبنك الدولي للإنشاء والتعمير لتمويل برنامج دعم الميزانية والتصويت على منح الثقة لعضو الحكومة المقترح,2018-7-28
107,مقترح قانون عدد 2018/60 يتعلق بتنقيح وإتمام القانون عدد 36 لسنة 2016 المؤرخ في 25 أفريل 2016 المتعلق بضبط النظام الأساسي للبنك المركزي التونسي,2018-7-24
108,مقترح قانون عدد 2018/59 يتعلق باضافة الفصل 10 مكرر للقانون عدد 71 لسنة 2016 المتعلق بقانون الاستثمار,2018-7-23
109,مقترح قانون عدد 2018/58 يتعلق بإحداث تعاونية مجلس نواب الشعب,2018-7-17
110,مشروع قانون عدد 2018/57 يتعلق بالموافقة على اتفاق القرض المبرم في 29 جوان 2018 بين الجمهورية التونسية والبنك الدولي للإنشاء والتعمير لتمويل برنامج دعم الميزانية (طلب استعجال النظر),2018-7-10
111,مشروع قانون عدد 2018/56 يتعلق بتنقيح وإتمام القانون عدد 12 لسنة 1985 المؤرخ في 5 مارس 1985 المتعلق بنظام الجرايات المدنية والعسكرية للتقاعد للباقين على قيد الحياة في القطاع العمومي,2018-7-10
112,مشروع قانون أساسي عدد 2018/55 يتعلق بالموافقة على إتفاقية تعاون بين حكومة الجمهورية التونسية وحكومة المملكة الأردنية الهاشمية في مجال النقل البحري,2018-7-10
113,مشروع قانون أساسي عدد 2018/54 يتعلق بالموافقة على إتفاق متعلق بالنقل الجوي بين حكومة الجمهورية التونسية وحكومة جمهورية البنين,2018-7-10
114,مشروع قانون عدد 2018/53 يتعلق بغلق ميزانية الدولة لسنة 2016,2018-6-21
115,مشروع قانون عدد 2018/52 يتعلق بالموافقة على اتفاقية القرض المبرمة بتاريخ 5 أفريل 2018 بين الجمهورية التونسية والبنك الإسلامي للتنمية بشأن المساهمة في تمويل مشروع بناء وتجهيز مستشفيين جهويين بكل من معتمديتي تالة والدهماني,2018-6-18
116,مشروع قانون عدد 2018/51 يتعلق بالموافقة على اتفاقية البيع لأجل المبرمة بتاريخ 5 أفريل 2018 بين الجمهورية التونسية والبنك الإسلامي للتنمية بشأن المساهمة في تمويل مشروع بناء وتجهيز مستشفيين جهويين بكل من معتمديتي تالة والدهماني,2018-6-18
117,مشروع قانون عدد 2018/50 يتعلق بالموافقة على اتفاقية الضمان المبرمة بتاريخ 5 أفريل 2018 بين الجمهورية التونسية والبنك الإسلامي للتنمية والمتعلقة باتفاقية البيع لأجل المبرمة في نفس التاريخ بين الشركة التونسية للكهرباء والغاز والبنك المذكور للمساهمة في تمويل مشروع دعم قطاع نقل الكهرباء (الخطة التنموية الثالثة عشر),2018-6-18
118,مشروع قانون عدد 2018/49 يتعلق بالنظام الوطني لاعتماد هياكل تقييم المطابقة,2018-6-18
119,مشروع قانون عدد 2018/47 يتعلق بإتمام القانون عدد 11 لسنة 1988 المؤرخ في 25 فيفري 1988 المتعلق بإحداث وكالة إحياء التراث والتنمية الثقافية,2018-6-18
120,مشروع قانون عدد 2018/52 يتعلق بالموافقة على اتفاقية القرض المبرمة بتاريخ 5 أفريل 2018 بين الجمهورية التونسية والبنك الإسلامي للتنمية بشأن المساهمة في تمويل مشروع بناء وتجهيز مستشفيين جهويين بكل من معتمديتي تالة والدهماني,2018-6-18
121,مقترح قانون عدد 2018/46 المتعلق بتقيح القانون عدد 55 لسنة 1973 المؤرخ في 03 أوت 1973 المنظم للمهن الصيدلية,2018-5-30
122,مقترح قانون عدد 2018/44 المتعلق بتقيح القانون عدد 55 لسنة 1973 المؤرخ في 03 أوت 1973 المنظم للمهن الصيدلية,2018-5-24
123,مشروع قانون عدد 2018/43 يتعلق بالضمانات المنقولة,2018-5-21
124,مشروع قانون عدد 2018/42 يتعلق بالموافقة على اتفاقية القرض المبرمة بتاريخ 10 أفريل 2018 بين حكومة الجمهورية التونسية والصندوق العربي للإنماء الاقتصادي والاجتماعي للمساهمة في تمويل برنامج التنمية المندمجة (المرحلة الثالثة),2018-5-15
125,مشروع قانون أساسي عدد 2018/41 يتعلق بالموافقة على اتفاق بين حكومة الجمهورية التونسية والبنك الإفريقي للتنمية والصندوق الإفريقي للتنمية حول إنشاء مكتب إقليمي للتنمية وإسداء الخدمات لمنطقة شمال إفريقيا بتونس,2018-5-15
126,مشروع قانون عدد 2018/40 يتعلق بتنقيح القانون عدد 95 لسنة 1999 مؤرخ في 6 ديسمبر 1999 المتعلق بإحداث صندوق ضمان تمويل الصادرات لمرحلة ما قبل الشحن,2018-5-15
127,مشروع قانون أساسي عدد 2018/39 يتعلق بتنقيح و إتمام القانون الأساسي عدد 50 لسنة 2015 المؤرخ في 03 ديسمبر 2015 المتعلق بالمحكمة الدستورية,2018-5-15
128,مقترح قانون عدد 2018/37 يتعلق بتنقيح أحكام القانون عدد 11 لسنة 2009 الصادر في 2 مارس 2009 المتعلق بإصدار مجلة السلامة والوقاية من مخاطر الحريق والإنفجار والفزع بالبنايات,2018-5-09
129,مقترح قانون عدد 2018/36 يتعلق بتثمين التراث الجيولوجي و حمايته,2018-4-26
130,مقترح قانون عدد 2018/35 يتعلق بتعديل الفصل 4 من القانون عدد 55 لسنة 2010 يتعلق بتنقيح بعض أحكام مجلة الجنسية التونسية,2018-4-18
